customer_id,income,income_volatility,credit_limit,loan_amount,transaction_frequency,missed_payment_count,age,employment_type,average_balance,account_tenure,region,debt_to_income,credit_utilization,loan_amount_outstanding,cluster_id
1,43745.42,0.3,26247,13278.7,47,7,59,salaried,6886.94,8,south,0.3035,0.5059,10647.25,Medium
2,32361.35,0.21,13592,4090.32,63,9,49,salaried,8051,9,west,0.1264,0.3009,194.95,Medium
3,74810.96,0.14,20947,7789.41,56,4,35,salaried,21797.33,12,north,0.1041,0.3719,2005.42,Low
4,74814.07,0.26,38903,10763.38,43,4,63,self-employed,7639.93,5,south,0.1439,0.2767,8494.2,Low
5,96765.42,0.24,46447,9465.26,63,1,28,self-employed,46322.98,12,south,0.0978,0.2038,8010.9,Low
6,87060.17,0.08,13930,2904.14,52,4,41,salaried,26661.79,6,east,0.0334,0.2085,618.5,Low
7,69209.04,0.09,12458,1456.64,39,0,59,salaried,26775.63,11,west,0.021,0.1169,240.73,Low
8,47917.27,0.37,35459,13795.15,67,6,39,self-employed,12475.84,4,west,0.2879,0.389,11026.01,Medium
9,86312.33,0.09,15536,2290.21,49,3,43,salaried,11529.07,5,south,0.0265,0.1474,1642.88,Low
10,53972.54,0.12,12953,3557.06,63,2,31,salaried,11258.89,7,east,0.0659,0.2746,2003.33,Low
11,65757.41,0.19,24988,12436.55,28,5,31,contract,6798.62,9,south,0.1891,0.4977,5696.03,Medium
12,77267.5,0.13,20090,8626.69,64,3,44,salaried,27723.88,10,west,0.1116,0.4294,7550.77,Low
13,66487.85,0.1,13298,4339.03,68,0,56,contract,28832.84,11,west,0.0653,0.3263,1212.05,Low
14,25141.31,0.38,19107,15953.05,36,6,60,contract,1853.93,13,south,0.6345,0.8349,10330.32,High
15,66219.14,0.16,21190,2943.5,55,1,44,contract,8719.68,6,north,0.0445,0.1389,2737.47,Low
16,53608.49,0.14,15010,3606.14,33,3,23,salaried,15370.79,14,south,0.0673,0.2402,620.04,Low
17,88448.41,0.12,21228,8886.16,38,3,42,salaried,19587.4,6,east,0.1005,0.4186,1716.91,Low
18,25296.6,0.39,19731,16449.74,26,16,22,salaried,1364.23,8,west,0.6503,0.8337,1953.48,High
19,47611.96,0.27,25710,11572.79,22,4,44,salaried,6864.38,11,west,0.2431,0.4501,3090.3,Medium
20,54628.18,0.15,16388,4464.32,52,3,64,salaried,13596.78,4,south,0.0817,0.2724,2539.54,Low
21,49557.25,0.25,24779,8582.38,63,5,50,self-employed,10556.68,3,north,0.1732,0.3464,2826.73,Medium
22,76594.75,0.14,21447,2369.79,51,2,58,contract,19522.32,14,west,0.0309,0.1105,1325.48,Low
23,61199.52,0.15,18360,2895.21,66,5,22,contract,21387.84,7,south,0.0473,0.1577,1398.42,Low
24,35900.56,0.27,19386,8116.6,30,5,41,salaried,10581,5,north,0.2261,0.4187,4309.4,Medium
25,103582.11,0.14,29003,6185.41,61,2,53,self-employed,54333.26,2,south,0.0597,0.2133,5888.04,Low
26,73443.86,0.14,20564,7840.2,21,0,32,salaried,33136.85,2,south,0.1068,0.3813,1622.7,Low
27,102910.2,0.12,24698,4054.95,45,4,42,salaried,24236.88,11,south,0.0394,0.1642,2719.53,Low
28,18289.2,0.3,10974,9916.87,23,12,64,contract,1312.73,6,west,0.5422,0.9037,4709.2,High
29,20979.87,0.33,13847,12235.66,36,8,45,salaried,1841.17,8,north,0.5832,0.8836,8314.7,High
30,40841.88,0.14,11436,4123.51,36,3,69,salaried,7635.2,1,east,0.101,0.3606,2466.47,Medium
31,30423.51,0.4,24339,21035.38,47,19,47,contract,3126.28,15,east,0.6914,0.8643,15909.3,High
32,47482.97,0.25,23741,10236.02,49,7,62,salaried,6505.6,11,west,0.2156,0.4312,5463.51,Medium
33,26178.46,0.4,20943,13456.51,59,6,48,contract,561.07,6,west,0.514,0.6425,9443.38,High
34,95560.93,0.1,19112,6673.5,42,4,36,salaried,36790.52,12,south,0.0698,0.3492,4906.89,Low
35,51064.44,0.29,29617,18280.06,65,10,35,contract,6021.38,2,south,0.358,0.6172,3255.5,Medium
36,15478.56,0.34,10525,10366.91,43,14,67,salaried,804.84,2,north,0.6698,0.985,9588.41,High
37,31682.62,0.46,29148,23903.5,48,7,64,salaried,2119.54,7,south,0.7545,0.8201,17320.06,High
38,63940.4,0.1,12788,4176.3,23,0,23,salaried,25301.71,10,north,0.0653,0.3266,404.2,Low
39,94775.87,0.2,37910,10815.06,57,1,57,self-employed,19303.25,1,south,0.1141,0.2853,9310.43,Low
40,28082.58,0.4,22466,16252.74,48,12,27,contract,622.1,6,south,0.5787,0.7234,3100.2,High
