customer_id,income,income_volatility,credit_limit,loan_amount,transaction_frequency,missed_payment_count,age,employment_type,average_balance,account_tenure,region,debt_to_income,credit_utilization,loan_amount_outstanding
1,3424845.46,0.07,498657,38915.5,20,0,42,salaried,1924998.87,13,south,0.0114,0.078,7199
2,3380318.29,0.06,376567,33926.1,54,0,53,salaried,2330915.1,9,south,0.01,0.0901,4116.18
3,4585086.84,0.08,696933,98330.02,50,0,37,salaried,1657108.03,12,east,0.0214,0.1411,6543.46
4,4353917.26,0.05,440616,41127.39,22,0,51,salaried,2193657.54,6,north,0.0094,0.0933,2031.1
5,3129598.78,0.09,548306,43305.89,66,0,26,salaried,3070912.12,2,west,0.0138,0.079,2968.19
6,2800361.52,0.1,556152,73297.47,31,0,51,salaried,1956001.13,6,north,0.0262,0.1318,7550.01
7,4212349.83,0.09,786024,56175.21,33,0,39,salaried,3395963.59,5,south,0.0133,0.0715,957.18
8,3737935.31,0.07,501631,58067.64,29,0,48,salaried,1942136.57,6,south,0.0155,0.1158,7491.4
9,4088581.86,0.05,434207,41030.22,37,0,49,salaried,2261383.04,1,east,0.01,0.0945,4341.04
10,4248890.21,0.07,576150,85496.23,28,0,26,salaried,1954410.05,14,south,0.0201,0.1484,10196.89
11,4955893.97,0.06,553078,77074.27,37,0,57,salaried,2872679.47,6,south,0.0156,0.1394,32.33
12,4020030.65,0.05,434967,35132.52,61,0,52,salaried,3353823.52,13,west,0.0087,0.0808,2338.52
13,4173374.86,0.09,738687,93023.61,43,0,36,salaried,1996752.93,7,north,0.0223,0.1259,9767.31
14,4747147.85,0.07,644663,42390.21,67,0,51,salaried,2001035.46,8,west,0.0089,0.0658,4893.43
15,4826029.48,0.06,547272,75714.59,42,0,46,salaried,2842375.91,15,south,0.0157,0.1383,15060.83
16,3934366.58,0.1,775070,44399.13,34,0,43,salaried,2066448.83,14,west,0.0113,0.0573,8454.01
17,4785276.08,0.09,858479,113253.18,60,0,33,salaried,2356541.66,14,east,0.0237,0.1319,20163.46
18,3854362.03,0.08,595884,88837.23,61,0,30,salaried,2704734.85,15,south,0.023,0.1491,6024.42
19,3539759.4,0.1,685297,82676.67,63,0,49,salaried,1848566.42,2,north,0.0234,0.1206,3263.1
20,3113308.71,0.1,603359,51045.91,65,0,25,salaried,2545613.13,13,north,0.0164,0.0846,5591.69
21,3810903.19,0.07,499990,53229.48,21,0,44,salaried,2502790.96,10,west,0.014,0.1065,5484.4
22,4974764.72,0.08,816856,67222.14,46,0,45,salaried,2037153.71,12,east,0.0135,0.0823,6185.15
23,2587699.05,0.05,266533,35390.81,33,0,34,salaried,2874042.03,11,north,0.0137,0.1328,494.08
24,4548113.5,0.09,825028,118584.41,32,0,35,salaried,3218382.76,10,north,0.0261,0.1437,7694.56
25,3332304.9,0.06,416538,48995.58,32,0,43,salaried,1540625.95,5,west,0.0147,0.1176,9984.82
26,4873849.57,0.08,825630,56131.39,62,0,34,salaried,3172336.42,15,north,0.0115,0.068,6531.97
27,3843643.81,0.05,408964,35371.73,60,0,42,salaried,2670260.53,15,west,0.0092,0.0865,5.02
28,3307515.13,0.08,560293,38457.27,30,0,32,salaried,2119753,3,south,0.0116,0.0686,635.68
29,3970926.55,0.07,537663,58859.07,40,0,39,salaried,2758870.91,5,east,0.0148,0.1095,14268.85
30,4953868.32,0.08,773794,112938.3,57,0,45,salaried,2854597.47,7,north,0.0228,0.146,9984.15
31,3839652.65,0.06,496083,56075.77,27,0,54,salaried,1913085.42,4,south,0.0146,0.113,8111.64
32,2649789.61,0.08,403298,47241.84,52,0,25,salaried,1923302.76,3,east,0.0178,0.1171,9223.71
33,2743931.36,0.09,497200,54372.37,42,0,29,salaried,3043400.38,10,east,0.0198,0.1094,5873.54
34,3562598.47,0.06,391886,43855.41,67,0,54,salaried,1803893.56,13,north,0.0123,0.1119,4271.76
35,4689723.36,0.06,565581,39292.52,57,0,50,salaried,1837734.02,8,west,0.0084,0.0695,2042.11
