customer_id,income,income_volatility,credit_limit,loan_amount,transaction_frequency,missed_payment_count,age,employment_type,average_balance,account_tenure,region,debt_to_income,credit_utilization,loan_amount_outstanding
1,988459.82,0.166,216062.43,129047.14,32.07,1,46,self-employed,243033.13,8.27,north,0.1306,0.5973,87380.44
2,387119.64,0.1525,343185.45,107128.54,38.91,0,49,salaried,562164.84,3.02,south,0.2767,0.3122,36672.1
3,2407271.64,0.3397,95928.11,27999.59,66.13,4,44,salaried,262458.27,9.26,west,0.0116,0.2919,4477.19
4,187444.12,0.2558,190410.64,186309.04,46.57,3,45,self-employed,91489.18,4.57,west,0.9939,0.9785,176202.65
5,126164.49,0.3633,156620.83,122002.78,56.58,10,64,salaried,109054.11,7.7,east,0.967,0.779,92549.93
6,2761366.03,0.3193,533201.08,308204.53,26.81,8,54,contract,2413943.62,8.96,south,0.1116,0.578,125652.59
7,1035212.36,0.0814,530919.95,127918.43,35.83,0,47,salaried,396907.12,2.21,north,0.1236,0.2409,31304.35
8,230057.72,0.3939,796528.14,70053.64,51.32,1,60,salaried,31463.95,6.73,east,0.3045,0.0879,33891.1
9,1703948.43,0.0825,477348.89,77911.77,58.68,0,30,salaried,101866.12,9.81,north,0.0457,0.1632,411.03
10,84841.84,0.1693,483295.54,42420.92,38.15,0,66,salaried,218148.12,13.63,south,0.5,0.0878,33770
11,220626.57,0.2681,564558.04,128725.42,50.14,4,54,self-employed,987680.83,5.39,east,0.5835,0.228,9960.98
12,1478899.09,0.0639,223400.35,54101.64,41.85,0,50,contract,336528.21,10.51,east,0.0366,0.2422,9243.84
13,295943.01,0.2804,248349.16,215770.8,49.43,6,64,self-employed,122995.21,6.17,south,0.7291,0.8688,167681.96
14,453614.19,0.198,487409.53,214261.27,30.17,0,64,contract,342817.96,3.85,north,0.4723,0.4396,71526.11
15,150194.28,0.1691,868770.83,75097.14,33.47,1,65,salaried,235667.97,6.07,east,0.5,0.0864,59487.21
16,240925.4,0.3551,71008.64,58731.05,41.06,4,58,contract,185467.82,8.61,south,0.2438,0.8271,46314.37
17,1080468.9,0.088,412530.69,102501.05,53.09,0,37,self-employed,466401.56,11.98,north,0.0949,0.2485,12660.63
18,238774.45,0.175,457945.85,165823.15,48.12,0,43,salaried,92307.43,4.84,south,0.6945,0.3621,42844.39
19,160121.07,0.2505,93281.73,75640.94,57.51,7,49,salaried,189988.99,1.54,north,0.4724,0.8109,66986.64
20,407081.15,0.1051,307595.36,58556.66,42.01,0,58,salaried,843139.9,12.16,north,0.1438,0.1904,12985.82
21,1326714.56,0.2026,177833.62,123541.87,36.18,8,27,self-employed,470462.95,5.14,south,0.0931,0.6947,70416.62
22,436354.87,0.1549,121118.96,59237.34,34.36,1,58,salaried,732831.21,10.68,south,0.1358,0.4891,47532.84
23,148168.59,0.3881,78875.43,78864.5,32.63,8,51,self-employed,125712.1,6.79,north,0.5323,0.9999,56848.22
24,2630447.79,0.3828,483446.37,405482.57,64.39,4,43,contract,2231604.71,13.73,north,0.1541,0.8387,130394.25
25,245275.9,0.1097,381846.9,86146.17,39.41,0,45,salaried,682988.12,14.67,west,0.3512,0.2256,4662.88
26,1483898.37,0.3484,355198.24,55721.07,56.63,8,49,contract,1966076.97,10.56,north,0.0376,0.1569,12332.36
